correct_fill;cpf_died;cpf_dirty;max_value;days_last;charge_back;amount;class
0.302382141;0.53064657;0.340498844;0.702548909;0.441609368;1;149.62;0
0.259453354;0.521052801;0.519428059;0.708770337;0.434375;0.448154078;2.69;0
0.256297193;0.534995507;0.547007698;0.707946239;0.432021612;0.379779593;378.66;0
0.198917131;0.525222114;0.521683503;0.703412848;0.438014272;-0.863291275;123.5;0
0.257370612;0.555295671;0.622974393;0.672500428;0.445967192;0.403033934;69.99;0
0.23100009;0.513444112;0.41703845;0.709017065;0.447714202;-0.16825208;3.67;0
0.294279112;0.523573243;0.369544426;0.720334229;0.436582263;1;4.99;0
0.216046723;0.573767295;0.672781716;0.664911365;0.373576389;-0.492199018;40.8;0
0.226232967;0.511991724;0.425720566;0.716877203;0.435427127;-0.27152613;93.2;0
0.228510445;0.513613887;0.582002377;0.697629901;0.447327216;-0.222187277;3.68;0
0.17526592;0.587809211;0.398201863;0.710581319;0.437005664;-1;7.8;0
0.234426701;0.538795986;0.449433843;0.727598651;0.436986509;-0.094018626;9.99;0
0.181763759;0.576534608;0.606001653;0.702308775;0.436171578;-1;121.5;0
0.363976343;0.544396447;0.458978142;0.707480209;0.435921646;3;27.5;0
0.32035301;0.570109115;0.505088567;0.686797874;0.42646801;2;58.8;0
0.170974124;0.55509679;0.586931409;0.674472668;0.425644801;-1;15.99;0
0.298270964;0.517293704;0.545930567;0.696696133;0.439541235;1;12.99;0
0.205198215;0.499800816;0.490848552;0.7032652;0.438875523;-0.727219054;0.89;0
0.318911253;0.540114171;0.428099771;0.696306538;0.454728688;2;46.8;0
0.172387422;0.588234134;0.40992393;0.716046741;0.435962623;-1;5;0
0.277271328;0.548426853;0.511135381;0.700263901;0.439223737;0.834159299;231.71;0
0.336127303;0.554228313;0.347142262;0.750675092;0.435661771;2;34.09;0
0.343160469;0.561589345;0.205867694;0.755994643;0.432774381;2;2.28;0
0.234492067;0.496380404;0.405522488;0.717138765;0.451916031;-0.09260255;22.75;0
0.19200394;0.548621199;0.465653945;0.715373568;0.470739422;-1;0.89;0
0.257692512;0.532829677;0.381126273;0.70371489;0.453100341;0.410007514;26.43;0
0.291091796;0.525550107;0.640672171;0.717882987;0.435661657;1;41.88;0
0.265356451;0.559593821;0.50400535;0.720504194;0.436979546;0.576037652;16;0
0.306781922;0.514382725;0.537177204;0.710905425;0.444102804;1;33;0
0.293517345;0.524857907;0.394811247;0.712630284;0.43896529;1;12.99;0
0.273920339;0.519549781;0.502457212;0.70844466;0.433678577;0.761564111;17.28;0
0.30042518;0.530329025;0.279901523;0.733469177;0.436305659;1;4.45;0
0.245480864;0.509227978;0.391216464;0.717866513;0.431111347;0.145456677;6.14;0
0.245480864;0.509227978;0.391216464;0.717866513;0.431111347;0.145456677;6.14;0
0.245578668;0.509310351;0.391207208;0.717914004;0.4308567;0.147575474;1.77;0
0.245578668;0.509310351;0.391207208;0.717914004;0.4308567;0.147575474;1.77;0
0.25087949;0.512342448;0.384162244;0.703476264;0.425931564;0.262411488;30.49;0
0.293088751;0.529022404;0.427915287;0.742681072;0.442402224;1;1.8;0
0.271382255;0.51207658;0.507683272;0.712719617;0.437396578;0.706579541;20.53;0
0.299947283;0.528937146;0.429828132;0.724314144;0.436697074;1;6.54;0
0.192994392;0.515838235;0.458272665;0.705905836;0.432383599;-0.991600361;29.89;0
0.292285904;0.532101129;0.435357277;0.751785;0.441342017;1;2.35;0
0.295640498;0.53279264;0.518560504;0.700531937;0.439617503;1;14.8;0
0.189007811;0.495555441;0.510525002;0.705420681;0.43719923;-1;9.1;0
0.152186135;0.525828785;0.627201387;0.675493947;0.451032351;-2;15.99;0
0.279067076;0.517220102;0.550260478;0.707113449;0.434704118;0.873062041;21.34;0
0.15864515;0.471767511;0.453191721;0.719760043;0.441479595;-2;18.95;0
0.265142623;0.509392;0.471184723;0.708263666;0.442076235;0.571405318;9.99;0
0.198851715;0.548724455;0.707822724;0.686635709;0.434857883;-0.864708434;30.9;0
0.296071357;0.537713568;0.527403747;0.709789233;0.440857987;1;20.22;0
0.285048143;0.518030526;0.59225576;0.698900093;0.43453327;1;0.99;0
0.410022761;0.518674592;0.363680086;0.701404688;0.478344938;4;1402.95;0
0.278472852;0.551816416;0.418480529;0.721925308;0.3937161;0.860188897;7.99;0
0.307893252;0.521716398;0.300594997;0.711794429;0.4389431;1;2.09;0
0.264927552;0.516807298;0.497051708;0.702341493;0.433626494;0.56674607;0.99;0
0.321952655;0.52848344;0.551527913;0.712342586;0.451454097;2;21.76;0
0.204005061;0.476847014;0.561470995;0.71949355;0.442298186;-0.753067316;120.96;0
0.206397768;0.521098252;0.417215467;0.712582507;0.442902257;-0.701232148;13.84;0
0.298347078;0.529696476;0.337640558;0.729834653;0.4363479;1;13.84;0
0.265308878;0.521249955;0.483217575;0.711482678;0.434342034;0.57500704;2.67;0
0.257585594;0.520111964;0.558362995;0.727923256;0.431014142;0.407691275;169.05;0
0.223530582;0.545650742;0.47797187;0.692311935;0.434393831;-0.330070103;96.94;0
0.358698939;0.555477219;0.3021707;0.743432404;0.432131281;3;34.13;0
0.189808505;0.51723689;0.427175608;0.703848913;0.420198978;-1;32.51;0
0.30686585;0.546485219;0.632770969;0.714876012;0.450978927;1;243.66;0
0.229119349;0.508502854;0.156044875;0.728406675;0.429411731;-0.208996096;21.55;0
0.267221127;0.537113662;0.440559846;0.684975947;0.40059688;0.616433633;59.9;0
0.368649093;0.56578628;0.470133151;0.679213168;0.418840891;3;0.75;0
0.263899475;0.518874741;0.402393899;0.725789942;0.436662908;0.544473989;45.71;0
0.330568343;0.579778561;0.411901468;0.683241507;0.404936439;2;35;0
0.300144715;0.528452011;0.372153634;0.728240964;0.435915401;1;67.97;0
0.247341035;0.527518706;0.43432767;0.719333634;0.455709151;0.185755072;11.45;0
0.269124071;0.52317115;0.513249601;0.724112281;0.433998464;0.65765866;3.63;0
0.227084438;0.511617414;0.220554817;0.726068581;0.434510819;-0.253080023;21.66;0
0.290108507;0.585020231;0.462243774;0.699030676;0.476036027;1;26.72;0
0.299856318;0.527993589;0.521565503;0.718764525;0.436884846;1;13.18;0
0.248140077;0.505823162;0.391486634;0.71443745;0.436210482;0.203065374;59.99;0
0.282786466;0.52844197;0.473160116;0.738865538;0.434877054;0.953638217;135.51;0
0.26382128;0.564616168;0.425284668;0.714329472;0.438466915;0.542780003;9.79;0
0.198731597;0.512216976;0.408732764;0.707312371;0.424260356;-0.867310639;14.8;0
0.267428415;0.524750782;0.505837841;0.722555364;0.43337499;0.620924297;1.98;0
0.29466735;0.530390125;0.28289209;0.732802919;0.436221243;1;6.67;0
0.127130055;0.752496103;0.417584288;0.608669607;0.422078858;-2;1.46;0
0.030316465;0.524329247;0.347552738;0.672533255;0.377812442;-5;89.17;0
0.268479213;0.514492243;0.542057049;0.701059294;0.434597053;0.643688582;7.53;0
